goos: darwin
goarch: arm64
pkg: github.com/architagr/lognugget/config
cpu: Apple M1 Pro
Benchmark_ValidateField/non_reserved_key-8  	13034593	        93.85 ns/op	      72 B/op	       3 allocs/op
Benchmark_ValidateField/non_reserved_key-8  	12905948	        89.93 ns/op	      72 B/op	       3 allocs/op
Benchmark_ValidateField/non_reserved_key-8  	13346091	        90.02 ns/op	      72 B/op	       3 allocs/op
Benchmark_ValidateField/non_reserved_key-8  	13415234	        89.32 ns/op	      72 B/op	       3 allocs/op
Benchmark_DefaultFieldsRendered_HotPath-8   	36278710	        34.83 ns/op	       0 B/op	       0 allocs/op
Benchmark_DefaultFieldsRendered_HotPath-8   	36084028	        34.22 ns/op	       0 B/op	       0 allocs/op
Benchmark_DefaultFieldsRendered_HotPath-8   	35830922	        33.51 ns/op	       0 B/op	       0 allocs/op
Benchmark_DefaultFieldsRendered_HotPath-8   	35939890	        33.81 ns/op	       0 B/op	       0 allocs/op
Benchmark_DefaultFieldsRendered_HotPath-8   	35879534	        34.12 ns/op	       0 B/op	       0 allocs/op
Benchmark_DefaultFieldsRendered_HotPath-8   	35913762	        33.44 ns/op	       0 B/op	       0 allocs/op
Benchmark_DefaultFieldsRendered_HotPath-8   	36064689	        33.42 ns/op	       0 B/op	       0 allocs/op
Benchmark_DefaultFieldsRendered_HotPath-8   	35820226	        35.13 ns/op	       0 B/op	       0 allocs/op
Benchmark_DefaultFieldsRendered_HotPath-8   	35505409	        33.62 ns/op	       0 B/op	       0 allocs/op
Benchmark_DefaultFieldsRendered_HotPath-8   	35227418	        33.42 ns/op	       0 B/op	       0 allocs/op
Benchmark_AppendField_Int-8                 	81752684	        14.54 ns/op	       0 B/op	       0 allocs/op
Benchmark_AppendField_Int-8                 	83071329	        14.55 ns/op	       0 B/op	       0 allocs/op
Benchmark_AppendField_Int-8                 	82574490	        15.01 ns/op	       0 B/op	       0 allocs/op
Benchmark_AppendField_Int-8                 	83171367	        14.57 ns/op	       0 B/op	       0 allocs/op
Benchmark_AppendField_Int-8                 	82668351	        14.59 ns/op	       0 B/op	       0 allocs/op
Benchmark_AppendField_Int-8                 	83208860	        14.55 ns/op	       0 B/op	       0 allocs/op
Benchmark_AppendField_Int-8                 	80068950	        14.59 ns/op	       0 B/op	       0 allocs/op
Benchmark_AppendField_Int-8                 	82532367	        14.73 ns/op	       0 B/op	       0 allocs/op
Benchmark_AppendField_Int-8                 	84296052	        14.89 ns/op	       0 B/op	       0 allocs/op
Benchmark_AppendField_Int-8                 	81928503	        14.55 ns/op	       0 B/op	       0 allocs/op
Benchmark_AppendField_String-8              	14040889	        92.72 ns/op	      56 B/op	       3 allocs/op
Benchmark_AppendField_String-8              	13981770	        88.49 ns/op	      56 B/op	       3 allocs/op
Benchmark_AppendField_String-8              	13652970	        85.60 ns/op	      56 B/op	       3 allocs/op
Benchmark_AppendField_String-8              	11061810	       128.2 ns/op	      56 B/op	       3 allocs/op
Benchmark_AppendField_String-8              	12192963	        99.56 ns/op	      56 B/op	       3 allocs/op
Benchmark_AppendField_String-8              	13724356	        86.04 ns/op	      56 B/op	       3 allocs/op
Benchmark_AppendField_String-8              	13961686	        94.00 ns/op	      56 B/op	       3 allocs/op
Benchmark_AppendField_String-8              	12878638	        93.82 ns/op	      56 B/op	       3 allocs/op
Benchmark_AppendField_String-8              	13115589	        87.73 ns/op	      56 B/op	       3 allocs/op
Benchmark_AppendField_String-8              	13061757	        86.39 ns/op	      56 B/op	       3 allocs/op
Benchmark_AppendField_Float64-8             	33108927	        36.48 ns/op	       0 B/op	       0 allocs/op
Benchmark_AppendField_Float64-8             	33656300	        37.04 ns/op	       0 B/op	       0 allocs/op
Benchmark_AppendField_Float64-8             	31852945	        36.80 ns/op	       0 B/op	       0 allocs/op
Benchmark_AppendField_Float64-8             	33248863	        36.49 ns/op	       0 B/op	       0 allocs/op
Benchmark_AppendField_Float64-8             	33482376	        37.25 ns/op	       0 B/op	       0 allocs/op
Benchmark_AppendField_Float64-8             	32644437	        36.43 ns/op	       0 B/op	       0 allocs/op
Benchmark_AppendField_Float64-8             	32984325	        36.48 ns/op	       0 B/op	       0 allocs/op
Benchmark_AppendField_Float64-8             	33040747	        36.58 ns/op	       0 B/op	       0 allocs/op
Benchmark_AppendField_Float64-8             	32306226	        36.72 ns/op	       0 B/op	       0 allocs/op
Benchmark_AppendField_Float64-8             	33372112	        36.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkHasEventPreProcessors-8            	1000000000	         0.5785 ns/op	       0 B/op	       0 allocs/op
BenchmarkHasEventPreProcessors-8            	1000000000	         0.5792 ns/op	       0 B/op	       0 allocs/op
BenchmarkHasEventPreProcessors-8            	1000000000	         0.5810 ns/op	       0 B/op	       0 allocs/op
BenchmarkHasEventPreProcessors-8            	1000000000	         0.5763 ns/op	       0 B/op	       0 allocs/op
BenchmarkHasEventPreProcessors-8            	1000000000	         0.5809 ns/op	       0 B/op	       0 allocs/op
BenchmarkHasEventPreProcessors-8            	1000000000	         0.5793 ns/op	       0 B/op	       0 allocs/op
BenchmarkHasEventPreProcessors-8            	1000000000	         0.6412 ns/op	       0 B/op	       0 allocs/op
BenchmarkHasEventPreProcessors-8            	1000000000	         0.5702 ns/op	       0 B/op	       0 allocs/op
BenchmarkHasEventPreProcessors-8            	1000000000	         0.5788 ns/op	       0 B/op	       0 allocs/op
BenchmarkHasEventPreProcessors-8            	1000000000	         0.5812 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendQuotedString_ASCII-8         	33669717	        37.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendQuotedString_ASCII-8         	33921302	        35.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendQuotedString_ASCII-8         	32120917	        35.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendQuotedString_ASCII-8         	34032938	        35.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendQuotedString_ASCII-8         	34303682	        35.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendQuotedString_ASCII-8         	33998626	        36.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendQuotedString_ASCII-8         	34016055	        37.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendQuotedString_ASCII-8         	33633504	        35.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendQuotedString_ASCII-8         	33809482	        35.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendQuotedString_ASCII-8         	33803292	        35.62 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/architagr/lognugget/config	196.608s
PASS
ok  	github.com/architagr/lognugget/custom_time	0.736s
goos: darwin
goarch: arm64
pkg: github.com/architagr/lognugget/encoder
cpu: Apple M1 Pro
Benchmark_JSONEncoder_Append-8   	878776159	         1.376 ns/op	       0 B/op	       0 allocs/op
Benchmark_JSONEncoder_Append-8   	878389692	         1.351 ns/op	       0 B/op	       0 allocs/op
Benchmark_JSONEncoder_Append-8   	883135152	         1.360 ns/op	       0 B/op	       0 allocs/op
Benchmark_JSONEncoder_Append-8   	856736163	         1.358 ns/op	       0 B/op	       0 allocs/op
Benchmark_JSONEncoder_Append-8   	886723260	         1.356 ns/op	       0 B/op	       0 allocs/op
Benchmark_JSONEncoder_Append-8   	884658092	         1.354 ns/op	       0 B/op	       0 allocs/op
Benchmark_JSONEncoder_Append-8   	887191723	         1.373 ns/op	       0 B/op	       0 allocs/op
Benchmark_JSONEncoder_Append-8   	883693914	         1.361 ns/op	       0 B/op	       0 allocs/op
Benchmark_JSONEncoder_Append-8   	885939856	         1.357 ns/op	       0 B/op	       0 allocs/op
Benchmark_JSONEncoder_Append-8   	881991116	         1.386 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/architagr/lognugget/encoder	15.049s
goos: darwin
goarch: arm64
pkg: github.com/architagr/lognugget/entry
cpu: Apple M1 Pro
Benchmark_Pool_GetPut-8                     	87031186	        13.51 ns/op	       0 B/op	       0 allocs/op
Benchmark_Pool_GetPut-8                     	88574508	        13.65 ns/op	       0 B/op	       0 allocs/op
Benchmark_Pool_GetPut-8                     	90243652	        13.44 ns/op	       0 B/op	       0 allocs/op
Benchmark_Pool_GetPut-8                     	89335286	        13.43 ns/op	       0 B/op	       0 allocs/op
Benchmark_Pool_GetPut-8                     	89618563	        13.40 ns/op	       0 B/op	       0 allocs/op
Benchmark_Pool_GetPut-8                     	89633068	        13.41 ns/op	       0 B/op	       0 allocs/op
Benchmark_Pool_GetPut-8                     	89763806	        13.44 ns/op	       0 B/op	       0 allocs/op
Benchmark_Pool_GetPut-8                     	90444874	        13.46 ns/op	       0 B/op	       0 allocs/op
Benchmark_Pool_GetPut-8                     	88382059	        13.42 ns/op	       0 B/op	       0 allocs/op
Benchmark_Pool_GetPut-8                     	89986220	        13.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkBufferSeverance-8                  	 3084734	       401.5 ns/op	      58 B/op	       1 allocs/op
BenchmarkBufferSeverance-8                  	 2705872	       401.3 ns/op	      54 B/op	       1 allocs/op
BenchmarkBufferSeverance-8                  	 3147620	       388.3 ns/op	      57 B/op	       1 allocs/op
BenchmarkBufferSeverance-8                  	 3407408	       412.0 ns/op	      60 B/op	       1 allocs/op
BenchmarkBufferSeverance-8                  	 2768754	       406.5 ns/op	      58 B/op	       1 allocs/op
BenchmarkBufferSeverance-8                  	 3129967	       389.8 ns/op	      55 B/op	       1 allocs/op
BenchmarkBufferSeverance-8                  	 2921986	       402.3 ns/op	      53 B/op	       1 allocs/op
BenchmarkBufferSeverance-8                  	 2731472	       412.0 ns/op	      56 B/op	       1 allocs/op
BenchmarkBufferSeverance-8                  	 3066639	       391.3 ns/op	      57 B/op	       1 allocs/op
BenchmarkBufferSeverance-8                  	 2976462	       395.0 ns/op	      55 B/op	       1 allocs/op
BenchmarkLogEntry_CtxAppender_10-8          	 3092144	       427.1 ns/op	      58 B/op	       1 allocs/op
BenchmarkLogEntry_CtxAppender_10-8          	 3544494	       364.3 ns/op	      56 B/op	       1 allocs/op
BenchmarkLogEntry_CtxAppender_10-8          	 3142544	       351.3 ns/op	      61 B/op	       1 allocs/op
BenchmarkLogEntry_CtxAppender_10-8          	 3512944	       378.2 ns/op	      57 B/op	       1 allocs/op
BenchmarkLogEntry_CtxAppender_10-8          	 3564601	       360.1 ns/op	      60 B/op	       1 allocs/op
BenchmarkLogEntry_CtxAppender_10-8          	 3053836	       366.6 ns/op	      59 B/op	       1 allocs/op
BenchmarkLogEntry_CtxAppender_10-8          	 3049608	       436.8 ns/op	      62 B/op	       1 allocs/op
BenchmarkLogEntry_CtxAppender_10-8          	 3525771	       363.0 ns/op	      57 B/op	       1 allocs/op
BenchmarkLogEntry_CtxAppender_10-8          	 3584680	       379.6 ns/op	      60 B/op	       1 allocs/op
BenchmarkLogEntry_CtxAppender_10-8          	 3140011	       366.4 ns/op	      62 B/op	       1 allocs/op
BenchmarkLogEntry_CtxFields_10-8            	 2239375	       550.0 ns/op	      61 B/op	       1 allocs/op
BenchmarkLogEntry_CtxFields_10-8            	 2168398	       541.2 ns/op	      59 B/op	       1 allocs/op
BenchmarkLogEntry_CtxFields_10-8            	 2173191	       519.9 ns/op	      62 B/op	       1 allocs/op
BenchmarkLogEntry_CtxFields_10-8            	 2340208	       518.9 ns/op	      57 B/op	       1 allocs/op
BenchmarkLogEntry_CtxFields_10-8            	 2158362	       581.4 ns/op	      56 B/op	       1 allocs/op
BenchmarkLogEntry_CtxFields_10-8            	 2188353	       526.2 ns/op	      54 B/op	       1 allocs/op
BenchmarkLogEntry_CtxFields_10-8            	 2226721	       532.6 ns/op	      58 B/op	       1 allocs/op
BenchmarkLogEntry_CtxFields_10-8            	 2305209	       563.7 ns/op	      52 B/op	       1 allocs/op
BenchmarkLogEntry_CtxFields_10-8            	 2258678	       551.5 ns/op	      55 B/op	       1 allocs/op
BenchmarkLogEntry_CtxFields_10-8            	 2212000	       567.5 ns/op	      59 B/op	       1 allocs/op
BenchmarkLogEntry_CtxParser_10-8            	 1000000	      1220 ns/op	    1030 B/op	       5 allocs/op
BenchmarkLogEntry_CtxParser_10-8            	  894996	      1155 ns/op	    1051 B/op	       5 allocs/op
BenchmarkLogEntry_CtxParser_10-8            	 1000000	      1127 ns/op	    1052 B/op	       5 allocs/op
BenchmarkLogEntry_CtxParser_10-8            	 1000000	      1163 ns/op	    1023 B/op	       5 allocs/op
BenchmarkLogEntry_CtxParser_10-8            	  931327	      1137 ns/op	    1024 B/op	       5 allocs/op
BenchmarkLogEntry_CtxParser_10-8            	 1000000	      1145 ns/op	    1039 B/op	       5 allocs/op
BenchmarkLogEntry_CtxParser_10-8            	 1000000	      1137 ns/op	    1045 B/op	       5 allocs/op
BenchmarkLogEntry_CtxParser_10-8            	 1000000	      1150 ns/op	    1044 B/op	       5 allocs/op
BenchmarkLogEntry_CtxParser_10-8            	 1000000	      1152 ns/op	    1042 B/op	       5 allocs/op
BenchmarkLogEntry_CtxParser_10-8            	 1000000	      1148 ns/op	    1055 B/op	       5 allocs/op
BenchmarkLogEntry_InlineFraming_10-8        	 3690070	       371.6 ns/op	     134 B/op	       1 allocs/op
BenchmarkLogEntry_InlineFraming_10-8        	 3094398	       359.2 ns/op	     138 B/op	       1 allocs/op
BenchmarkLogEntry_InlineFraming_10-8        	 3577920	       389.2 ns/op	     142 B/op	       1 allocs/op
BenchmarkLogEntry_InlineFraming_10-8        	 3581835	       359.6 ns/op	     120 B/op	       1 allocs/op
BenchmarkLogEntry_InlineFraming_10-8        	 3102646	       348.8 ns/op	     153 B/op	       1 allocs/op
BenchmarkLogEntry_InlineFraming_10-8        	 3330464	       387.2 ns/op	     134 B/op	       1 allocs/op
BenchmarkLogEntry_InlineFraming_10-8        	 3299713	       359.0 ns/op	     147 B/op	       1 allocs/op
BenchmarkLogEntry_InlineFraming_10-8        	 3320139	       359.4 ns/op	     138 B/op	       1 allocs/op
BenchmarkLogEntry_InlineFraming_10-8        	 3246262	       405.8 ns/op	     149 B/op	       1 allocs/op
BenchmarkLogEntry_InlineFraming_10-8        	 2737166	       426.0 ns/op	     165 B/op	       1 allocs/op
BenchmarkLognugget_Parallel_10CtxFields-8   	 3806631	       367.1 ns/op	      37 B/op	       1 allocs/op
BenchmarkLognugget_Parallel_10CtxFields-8   	 3847432	       323.2 ns/op	      38 B/op	       1 allocs/op
BenchmarkLognugget_Parallel_10CtxFields-8   	 3789380	       314.7 ns/op	      40 B/op	       1 allocs/op
BenchmarkLognugget_Parallel_10CtxFields-8   	 3809427	       307.2 ns/op	      39 B/op	       1 allocs/op
BenchmarkLognugget_Parallel_10CtxFields-8   	 3871861	       307.1 ns/op	      40 B/op	       1 allocs/op
BenchmarkLognugget_Parallel_10CtxFields-8   	 3885699	       309.7 ns/op	      40 B/op	       1 allocs/op
BenchmarkLognugget_Parallel_10CtxFields-8   	 3859857	       320.6 ns/op	      37 B/op	       1 allocs/op
BenchmarkLognugget_Parallel_10CtxFields-8   	 3815383	       311.1 ns/op	      39 B/op	       1 allocs/op
BenchmarkLognugget_Parallel_10CtxFields-8   	 3843399	       323.8 ns/op	      38 B/op	       1 allocs/op
BenchmarkLognugget_Parallel_10CtxFields-8   	 3861744	       307.3 ns/op	      38 B/op	       1 allocs/op
Benchmark_Log_AddSourceTrue-8               	 1375224	       879.5 ns/op	     502 B/op	       4 allocs/op
Benchmark_Log_AddSourceTrue-8               	 1349324	       859.0 ns/op	     518 B/op	       4 allocs/op
Benchmark_Log_AddSourceTrue-8               	 1395224	       885.6 ns/op	     513 B/op	       4 allocs/op
Benchmark_Log_AddSourceTrue-8               	 1367734	       883.0 ns/op	     513 B/op	       4 allocs/op
Benchmark_Log_AddSourceTrue-8               	 1408666	       851.5 ns/op	     509 B/op	       4 allocs/op
Benchmark_Log_AddSourceTrue-8               	 1372246	       864.0 ns/op	     515 B/op	       4 allocs/op
Benchmark_Log_AddSourceTrue-8               	 1355343	       878.4 ns/op	     511 B/op	       4 allocs/op
Benchmark_Log_AddSourceTrue-8               	 1344800	       888.5 ns/op	     516 B/op	       4 allocs/op
Benchmark_Log_AddSourceTrue-8               	 1344973	       914.7 ns/op	     510 B/op	       4 allocs/op
Benchmark_Log_AddSourceTrue-8               	 1355180	       858.5 ns/op	     515 B/op	       4 allocs/op
BenchmarkTimestamp_Direct-8                 	 3340959	       372.3 ns/op	      46 B/op	       1 allocs/op
BenchmarkTimestamp_Direct-8                 	 2912508	       357.0 ns/op	      46 B/op	       1 allocs/op
BenchmarkTimestamp_Direct-8                 	 3130382	       352.8 ns/op	      48 B/op	       1 allocs/op
